country_code,country,playlist_id,top_playlist_name,artist,track_name,track_id,popularity,key,tempo,time_signature,valence,liveness,energy,danceability,loudness,speechiness,acousticness,instrumentalness,tempo_normalized
NZ,New Zealand,37i9dQZF1DWYfVqUciU2jI,sad song club,David Kushner,Daylight,1odExI7RdWc4BT515LTAwj,97,2,130.09,4,0.324,0.093,0.43,0.508,-9.475,0.0335,0.83,0.000441,0.12
NZ,New Zealand,37i9dQZF1DWYfVqUciU2jI,sad song club,Tom Odell,Another Love,3JvKfv6T31zO0ini8iNItO,92,4,122.769,4,0.131,0.0944,0.537,0.445,-8.532,0.04,0.695,1.65e-05,0.38
NZ,New Zealand,37i9dQZF1DWYfVqUciU2jI,sad song club,d4vd,Romantic Homicide,1xK59OXxi2TAAAbmZK0kBL,91,6,132.052,4,0.216,0.322,0.544,0.571,-10.613,0.0299,0.453,0.00805,0.62
NZ,New Zealand,37i9dQZF1DWYfVqUciU2jI,sad song club,Lizzy McAlpine,ceilings,2L9N0zZnd37dwF0clgxMGI,90,9,148.005,3,0.261,0.215,0.322,0.516,-11.762,0.0292,0.473,0.00194,1.0
NZ,New Zealand,37i9dQZF1DWYfVqUciU2jI,sad song club,Billie Eilish,lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,90,4,115.284,4,0.12,0.095,0.296,0.351,-10.109,0.0333,0.934,0.0,0.38
NZ,New Zealand,37i9dQZF1DWYfVqUciU2jI,sad song club,Labrinth,Never Felt So Alone,2NbsBSshscKIPRG3kwBbfo,88,5,98.357,3,0.363,0.38,0.409,0.436,-4.438,0.0533,0.499,0.000166,0.5
NZ,New Zealand,37i9dQZF1DWYfVqUciU2jI,sad song club,Conan Gray,Heather,4xqrdfXkTW4T0RauPLv3WA,88,5,102.078,3,0.27,0.322,0.425,0.357,-7.301,0.0333,0.584,0.0,0.5
NZ,New Zealand,37i9dQZF1DWYfVqUciU2jI,sad song club,Olivia Rodrigo,traitor,5CZ40GBx1sQ9agT82CLQCT,87,3,100.607,4,0.0849,0.12,0.339,0.38,-7.885,0.0338,0.691,0.0,0.25
NZ,New Zealand,37i9dQZF1DWYfVqUciU2jI,sad song club,Alec Benjamin,Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,86,1,150.073,4,0.483,0.124,0.557,0.652,-5.714,0.0318,0.74,0.0,0.0
NZ,New Zealand,37i9dQZF1DWYfVqUciU2jI,sad song club,Joji,Glimpse of Us,6xGruZOHLs39ZbVccQTuPZ,86,8,169.914,3,0.268,0.141,0.317,0.44,-9.258,0.0531,0.891,4.78e-06,0.88
ES,Australia,37i9dQZF1DXbQm6Guuzt5a,sadboi hours,d4vd,Romantic Homicide,1xK59OXxi2TAAAbmZK0kBL,91,6,132.052,4,0.216,0.322,0.544,0.571,-10.613,0.0299,0.453,0.00805,0.67
